Year,Area,Street,Street 2,Strange HTML
2011,Birmingham,Acocks  Green,Acocks Green,One  amp; Two
2011,,Adderly  St,Adderly St,Some  ndash; ndash
2011,,"Alcester  Rd,  Mosley","Alcester Rd, Mosley", euro;300
2011,,Alcester  Rd,Alcester Rd,alcester nbsp;road
2011,,Alcester  Rd  Moseley,Alcester Rd Moseley, quot;That silly man quot;
2011,,Alcester  Rd  Moseley,Alcester Rd Moseley, lt;html gt;
2011,,Alfred  St,Alfred St,One  amp; Two
2011,,"All  Service  Club,  Mosley","All Service Club, Mosley",Some  ndash; ndash
2011,,Alum  Rock  Rd,Alum Rock Rd, euro;300
2011,,Alum  Rock  Rd,Alum Rock Rd,alcester nbsp;road
2011,,Alum  Rock  Rd,Alum Rock Rd, quot;That silly man quot;
2011,,Alum  Rock  Rd,Alum Rock Rd, lt;html gt;
2011,,Arcadian  Ctr,Arcadian Ctr,One  amp; Two
2011,,"Arden  Rd,  Saltley","Arden Rd, Saltley",Some  ndash; ndash
2011,,"Asda,  Chemsley  Wood","Asda, Chemsley Wood", euro;300
2011,,"Balsahll  Heath  Park,  J/W  Brighton  Rd","Balsahll Heath Park, J/W Brighton Rd",alcester nbsp;road
2011,,Bamford  Rd,Bamford Rd, quot;That silly man quot;
2011,,Bamford  Rd,Bamford Rd, lt;html gt;
2011,,Beechbrook  Ave  Sparkhill,Beechbrook Ave Sparkhill,One  amp; Two
2011,,Belchers  Ln,Belchers Ln,Some  ndash; ndash
2011,,Belchers  Ln,Belchers Ln, euro;300
2011,,Belchers  Ln,Belchers Ln,alcester nbsp;road
2011,,"Belchers  Ln,  Bordesley  Green","Belchers Ln, Bordesley Green", quot;That silly man quot;
2011,,Bell  St,Bell St, lt;html gt;
2011,,"Berkley  Rd  East  ,    Haymills.","Berkley Rd East ,  Haymills.",One  amp; Two
2011,,Birmingham  Airport,Birmingham Airport,Some  ndash; ndash
2011,,Birmingham  International  Railway  Station,Birmingham International Railway Station, euro;300
2011,,Bordesley  Green,Bordesley Green,alcester nbsp;road
2011,,"Bordesley  Green  ,    Bordesley  Green.","Bordesley Green ,  Bordesley Green.", quot;That silly man quot;
2011,,Bristol  Rd,Bristol Rd, lt;html gt;
2011,,Bristol  St,Bristol St,One  amp; Two
2011,,Broad  St,Broad St,Some  ndash; ndash
2011,,Broad  St,Broad St, euro;300
2011,,Broad  St  Birmingham,Broad St Birmingham,alcester nbsp;road
2011,,Buckland  End  Ln  Shard  End,Buckland End Ln Shard End, quot;That silly man quot;
2011,,"Bulls  Head  Ph,  St  Marys  Row","Bulls Head Ph, St Marys Row", lt;html gt;
2011,,"Bushbury  Rd,  Kitts  Green","Bushbury Rd, Kitts Green",
2011,,Chartice  Rd,Chartice Rd,
2011,,Chestnut  Rd,Chestnut Rd,
2011,,"Church  Rd,  Stechford","Church Rd, Stechford",
2011,,"Church  Rd,  Sheldon","Church Rd, Sheldon",
2011,,Clifford  Rd  Dorridge.,Clifford Rd Dorridge.,
2011,,Clock  Ln,Clock Ln,
2011,,"Colonial  Rd,  Bordesley  Green`","Colonial Rd, Bordesley Green`",
2011,,"Corporation  St,Birmingham","Corporation St,Birmingham",
2011,,Corporation  St,Corporation St,
2011,,Coventry  Rd  Small  Heath,Coventry Rd Small Heath,
2011,,"Coventry  Rd,  Small  Heath,  Bham","Coventry Rd, Small Heath, Bham",
2011,,Coventry  Rd,Coventry Rd,
2011,,Coventry  Rd,Coventry Rd,
2011,,Coventry  Rd,Coventry Rd,
2011,,Coventry  Rd,Coventry Rd,
2011,,Coventry  Rd,Coventry Rd,
2011,,"Coventry  Rd,  Small  Heath","Coventry Rd, Small Heath",
2011,,"Coventry  Rd,  Small  Heath","Coventry Rd, Small Heath",
2011,,"Coventry  Rd,Small  Heath","Coventry Rd,Small Heath",
2011,,Cranes  Park  Rd,Cranes Park Rd,
2011,,Cranes  Park  Rd  Sheldon,Cranes Park Rd Sheldon,
2011,,Crossfield  Rd,Crossfield Rd,
2011,,Crossfields  Rd  Kitts  Green,Crossfields Rd Kitts Green,
2011,,"Cxhurch  Rd,  Stechford,  Bham","Cxhurch Rd, Stechford, Bham",
2011,,Digbeth  High  St,Digbeth High St,
2011,,Edgbaston  Rd,Edgbaston Rd,
2011,,Edward  Rd.  Moseley,Edward Rd. Moseley,
2011,,Fighting  Cox  Ph,Fighting Cox Ph,
2011,,"Foremans  Rd,  Sparkhill","Foremans Rd, Sparkhill",
2011,,"Front  Office,  Kings  Heath","Front Office, Kings Heath",
2011,,"Garretts  Green  Rd,  Garretts  Green","Garretts Green Rd, Garretts Green",
2011,,Giles  Close,Giles Close,
2011,,"Giles  Close,  Stechford","Giles Close, Stechford",
2011,,Glazedale  Rd,Glazedale Rd,
2011,,Gospel  Farm  Rd,Gospel Farm Rd,
2011,,Gospel  Farm  Rd,Gospel Farm Rd,
2011,,Gospel  Ln,Gospel Ln,
2011,,Gospel  Ln,Gospel Ln,
2011,,Gospel  Ln,Gospel Ln,
2011,,"Gospel  Ln,  Acocks  Green","Gospel Ln, Acocks Green",
2011,,"Grace  Church,  Sutton  Coldfield","Grace Church, Sutton Coldfield",
2011,,Great  Hampton  St,Great Hampton St,
2011,,Green  Ln,Green Ln,
2011,,Greswell  Ln  Shard  End,Greswell Ln Shard End,
2011,,"Harlequin  Drive,  Mosley","Harlequin Drive, Mosley",
2011,,Haslucks  Green  Rd,Haslucks Green Rd,
2011,,Hazeldean  Rd,Hazeldean Rd,
2011,,Heartlands  Hospital,Heartlands Hospital,
2011,,Heartlands  Hospital,Heartlands Hospital,
2011,,Heartlands  Hospital  A  &  E.,Heartlands Hospital A & E.,
2011,,Heartlands  Hospital  A  &  E.,Heartlands Hospital A & E.,
2011,,Heartlands  Hospital  A  &  E.,Heartlands Hospital A & E.,
2011,,Hepben  Grove,Hepben Grove,
2011,,Herrick  Rd,Herrick Rd,
2011,,"Herrick  Rd,  Washwood  Heath","Herrick Rd, Washwood Heath",
2011,,"Herrick  Rd,  Washwood  Heath","Herrick Rd, Washwood Heath",
